NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVE_AM,PCT_ASIAN,PCT_HAWAIIAN_PI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_1_TO_4,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,PER_CAPITA_INCOME,AVG_HH_INCOME,AVG_FAM_INCOME,BUILT_2005_OR_LATER,BUILT_2000_2004,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,NATIVE_BORN,FOREIGN_BORN_FB,PCT_IN_POVERTY,PCT_FAM_POVERTY,SHAPE_Length,SHAPE_Area
Bear Valley,9552,4161,4536,19,29,745,0,11,51,43.56,47.49,0.2,0.3,7.8,0,0.12,0.53,5205,4347,815,490,516,265,1305,1216,2059,1153,917,1313,837,378,374,2086,1189,21.84,12.45,9009,2104,91,114,370,346,624,493,66,6905,4698,871,1601,1425,434,367,5893,1087,1842,1500,1464,3944,3610,334,2030,1580,3610,2333,1868,465,148,317,1277,953,324,56,178,313,188,210,198,322,364,122,309,475,402,270,65,103,35,22515,58418,65971,7,506,77,522,1397,1208,101,27,99,7161,2391,17.97,13.07,0.11121199,0.000367572
Harvey Park South,9555,4856,4043,63,82,371,0,0,140,50.82,42.31,0.66,0.86,3.88,0,0,1.47,4581,4974,868,875,432,282,1743,942,1439,1482,1151,1175,766,471,386,2457,1203,25.71,12.59,9101,2558,167,291,604,346,426,604,120,6543,4399,576,2002,1375,184,262,5963,1124,1835,1544,1460,3431,3221,210,1873,1348,3221,2273,1596,677,192,485,948,837,111,212,209,131,178,224,191,114,301,57,277,374,419,228,248,35,23,20773,58702,64807,15,197,210,305,511,328,1818,34,13,7868,1687,16.96,14.03,0.086558748,0.000371858
Southmoor Park,3489,396,2744,144,0,136,6,28,35,11.35,78.65,4.13,0,3.9,0.17,0.8,1,1725,1764,214,130,128,36,344,175,976,527,249,415,255,213,335,508,614,14.56,17.6,3356,481,103,15,96,96,46,39,86,2875,1915,581,783,281,201,69,2716,56,317,811,1532,2121,1779,342,794,985,1779,763,635,128,12,116,1016,787,229,85,21,31,145,110,167,198,44,56,121,213,173,222,41,70,82,37830,72036,96853,83,349,686,156,116,460,254,7,10,3259,230,4.21,0,0.107785475,0.000253271
Hampden South,13857,921,10285,1606,0,738,0,0,307,6.65,74.22,11.59,0,5.33,0,0,2.22,6491,7366,995,457,539,320,1452,1099,2293,2053,1615,2105,1504,1084,652,2311,2355,16.68,17,13257,2823,266,145,399,365,482,965,201,10434,7457,1940,3518,1021,556,422,10212,705,1255,2587,5665,7791,7196,595,4236,2960,7196,3658,2832,826,306,520,3538,3155,383,474,302,182,382,347,329,386,537,325,569,801,868,426,393,475,400,41133,78224,99532,95,420,1080,1358,3204,1411,147,16,60,11679,2178,8.49,6.92,0.120253654,0.000791262
Indian Creek,3168,325,2370,294,0,87,0,0,92,10.26,74.81,9.28,0,2.75,0,0,2.9,1380,1788,80,141,149,56,221,304,324,619,536,560,383,153,68,426,345,13.45,10.89,3116,644,12,5,126,184,134,94,89,2472,1755,145,976,363,190,81,2548,109,452,647,1340,1931,1739,192,1364,375,1739,710,503,207,29,178,1029,887,142,165,0,83,98,40,107,113,113,57,191,194,251,138,107,54,28,35593,63803,68004,0,12,228,1226,355,56,5,11,38,2634,534,18.97,18.03,0.068986942,0.000132557
Union Station,3749,172,3102,47,0,369,0,0,59,4.59,82.74,1.25,0,9.84,0,0,1.57,1962,1787,35,10,0,0,45,0,947,777,461,605,507,297,110,45,600,1.2,16,3714,325,10,0,0,0,9,144,162,3389,2074,637,1025,290,27,95,3374,168,341,528,2337,3400,2639,761,1217,1422,2639,725,674,51,9,42,1914,1670,244,347,120,117,73,55,79,30,104,14,142,253,365,225,123,264,328,76105,106972,201385,558,989,195,510,485,45,49,20,549,3394,355,12.3,3.17,0.045504799,0.000119416
Five Points,10727,2347,5787,2102,88,115,0,28,260,21.88,53.95,19.6,0.82,1.07,0,0.26,2.42,5641,5086,702,519,300,170,1221,635,2916,2776,1345,938,607,204,85,1691,536,15.76,5,10317,2679,150,80,428,246,305,1162,308,7638,5828,1782,2352,1104,381,209,7506,1058,919,1977,3552,6230,5394,836,1691,3703,5394,1639,1069,570,196,374,3755,2826,929,596,470,256,318,259,400,99,263,183,335,602,596,305,323,286,103,31538,60334,63189,940,1746,376,176,176,189,272,233,2122,9635,1092,28.01,25.63,0.103128605,0.000480818
Stapleton,11467,1475,7593,1462,80,544,0,62,251,12.86,66.22,12.75,0.7,4.74,0,0.54,2.19,6377,5090,1403,898,238,91,2301,597,1800,3574,1928,730,350,96,91,2630,296,22.94,2.58,10575,2408,536,299,560,207,157,367,282,8167,4262,692,2268,1005,143,154,7982,1043,1093,1441,4405,3451,3282,169,2603,679,3282,2217,1878,339,117,222,1065,726,339,60,74,51,61,42,83,70,81,107,198,222,375,371,491,523,473,40520,126627,142719,1824,1596,0,25,0,6,0,0,0,10361,1106,5.63,3.52,0.301708698,0.002445935
Montbello,29347,16164,1896,10109,42,548,0,92,496,55.08,6.46,34.45,0.14,1.87,0,0.31,1.69,14484,14863,2413,3501,3019,1739,5914,5913,3606,4330,4433,2508,1608,848,187,10672,1762,36.36,6,27923,10277,500,618,2766,2492,2496,1247,158,17646,11819,1607,4727,3113,1472,900,15830,5316,4195,4440,1879,9187,8422,765,5413,3009,8422,6582,4310,2272,652,1620,1840,1534,306,802,441,351,663,539,712,492,598,338,897,852,957,326,282,134,38,15051,50239,50850,106,528,1243,1450,3637,1981,142,55,45,19568,9779,23.02,20.94,0.160794469,0.001378446
Lowry Field,7370,715,4845,1116,36,400,0,27,231,9.7,65.74,15.14,0.49,5.43,0,0.37,3.13,3530,3840,625,855,378,147,1480,689,1230,1377,1115,738,270,251,220,2005,519,27.2,7.04,7002,2461,283,216,610,284,223,522,323,4541,3763,642,1745,1067,160,149,4757,233,425,912,3187,3726,3416,310,1493,1923,3416,1628,1250,378,93,285,1788,1424,364,356,186,157,158,83,145,140,111,157,259,359,234,144,230,281,416,44506,94777,135696,537,1613,788,133,110,47,131,106,261,6440,930,14.86,15.23,0.134351254,0.000701651
Chaffee Park,4324,2760,1418,41,41,23,0,33,8,63.83,32.79,0.95,0.95,0.53,0,0.76,0.19,2148,2176,526,281,169,157,807,410,885,553,481,464,385,236,103,1133,498,26.2,11.52,4037,1188,188,18,206,121,216,353,86,2849,1861,356,978,331,123,73,2796,623,807,632,734,1552,1497,55,1158,339,1497,1004,753,251,64,187,493,357,136,122,42,122,75,115,150,119,44,34,181,104,174,172,30,0,13,20946,58428,52895,16,23,61,145,111,111,312,653,120,3552,772,23.77,20.02,0.076912479,0.000214088
Sunnyside,10362,6496,3292,365,75,33,11,40,50,62.69,31.77,3.52,0.72,0.32,0.11,0.39,0.48,5085,5277,663,798,609,491,1461,1302,1234,2261,1314,1269,792,389,340,2561,1000,24.72,9.65,9970,2626,175,202,593,472,657,419,108,7344,4183,1256,2070,476,287,94,7164,1799,2083,1297,1985,4262,4120,142,2306,1814,4120,2225,1418,807,114,693,1895,1351,544,498,401,365,185,201,354,274,115,208,188,449,431,210,66,127,48,20014,48936,53750,11,77,21,173,197,296,700,671,2116,8576,1786,25.57,20.67,0.082679412,0.000387683
Highland,7966,3484,4317,45,20,21,0,13,66,43.74,54.19,0.56,0.25,0.26,0,0.16,0.83,4330,3636,680,216,195,183,896,607,1516,2047,1001,959,484,209,247,1274,668,15.99,8.39,7395,1375,76,50,195,164,266,461,163,6020,4375,1203,1622,1168,238,144,6003,942,1290,1107,2664,4323,3865,458,1911,1954,3865,1464,925,539,133,406,2401,1874,527,340,326,228,238,156,215,241,118,179,283,379,309,327,125,289,112,32402,64408,71724,299,380,223,135,203,184,424,261,2214,7134,832,18.83,14.96,0.076194138,0.000313849
Globeville,3614,2857,548,148,15,0,0,16,30,79.05,15.16,4.1,0.42,0,0,0.44,0.83,2158,1456,433,190,273,85,623,523,627,610,463,376,292,80,20,981,266,27.14,7.36,3320,648,21,76,140,224,55,132,0,2672,1303,451,392,405,19,36,2149,973,624,374,178,1165,1017,148,395,622,1017,697,472,225,73,152,320,294,26,79,88,228,148,49,37,15,11,72,80,39,59,43,29,40,0,13350,42001,47648,47,93,26,24,45,110,253,261,306,2639,975,35.56,26.4,0.128924014,0.000560892
Jefferson Park,2460,1672,606,52,10,16,0,0,104,67.97,24.63,2.11,0.41,0.65,0,0,4.23,1186,1274,306,176,127,123,482,266,454,569,266,255,129,10,29,732,97,29.76,3.94,2275,607,42,14,162,91,190,90,18,1668,1059,340,384,47,108,180,1538,381,446,293,418,1236,1023,213,267,756,1023,535,239,296,88,208,488,338,150,170,154,0,166,89,26,20,97,40,40,56,53,41,60,11,0,17149,40548,33545,71,48,62,0,123,133,176,44,579,1923,537,43.86,48.41,0.055589574,0.000133906
Sun Valley,1569,612,339,386,0,129,0,73,30,39.01,21.61,24.6,0,8.22,0,4.65,1.91,586,983,348,94,245,96,442,443,156,269,121,53,55,10,20,783,64,49.9,4.08,1359,480,0,31,157,112,170,10,0,879,139,55,0,25,19,40,639,233,323,46,37,506,430,76,13,417,430,348,44,304,51,253,82,82,0,269,50,17,31,12,25,13,13,0,0,0,0,0,0,0,0,4210,12164,11471,14,57,7,43,13,74,192,45,61,1361,208,80.31,78.16,0.062003975,0.000174791
Valverde,4064,3201,517,191,15,140,0,0,0,78.76,12.72,4.7,0.37,3.44,0,0,0,1678,2386,476,429,388,163,905,667,586,456,604,375,245,167,59,1456,300,35.83,7.38,3790,1184,151,41,316,362,240,74,0,2606,1474,401,484,452,35,102,2179,914,813,336,116,1258,1221,37,556,665,1221,831,456,375,61,314,390,352,38,164,148,220,116,56,70,44,48,16,51,95,66,73,42,12,0,12235,38300,44172,0,0,0,82,55,142,474,353,152,3151,913,34.77,32.61,0.071040239,0.000261201
Athmar Park,8701,6465,1766,7,210,170,0,0,83,74.3,20.3,0.08,2.41,1.95,0,0,0.95,4698,4003,860,613,700,477,1473,1356,1532,1457,1070,774,453,326,260,2650,760,30.46,8.73,8168,2441,147,146,398,528,682,465,75,5727,3955,1015,1204,1227,197,312,5133,1829,1586,1045,673,3042,2824,218,1839,985,2824,1921,1192,729,246,483,903,745,158,112,208,312,219,258,112,140,152,225,252,387,279,94,34,20,20,18221,54287,60417,42,78,57,9,185,387,1324,617,343,6184,2517,26.27,21.34,0.089155528,0.000420413
Windsor,12336,1786,7666,2066,89,533,0,112,84,14.48,62.14,16.75,0.72,4.32,0,0.91,0.68,5458,6878,699,383,222,171,1082,509,2439,1454,1167,1433,1330,1373,1549,1475,3592,11.96,29.12,11755,1213,59,20,204,186,183,324,237,10542,5366,627,2701,1040,944,54,9918,1127,3180,2399,3212,8274,7190,1084,3421,3769,7190,2429,1808,621,226,395,4761,3989,772,1084,659,563,541,616,420,385,543,207,490,615,439,225,114,128,161,27276,45953,49695,110,440,1041,1206,2871,2094,374,99,39,10113,2223,22.87,21.45,0.123097953,0.000464961
Northeast Park Hill,7977,2188,886,4450,0,158,0,0,295,27.43,11.11,55.79,0,1.98,0,0,3.7,3898,4079,810,735,548,415,1545,1131,1009,1066,790,1124,600,453,259,2508,898,31.44,11.26,7471,2179,199,148,534,501,517,201,79,5292,2618,447,1130,599,151,291,4927,1301,1563,1469,594,3068,2531,537,1291,1240,2531,1618,807,811,185,626,913,797,116,463,226,186,230,142,175,104,71,160,139,133,285,154,11,21,31,14962,42505,49333,87,273,0,0,118,324,1820,292,154,6819,1158,33.19,26.39,0.132033777,0.000906815
Elyria Swansea,6448,5078,728,500,41,61,0,23,17,78.75,11.29,7.75,0.64,0.95,0,0.36,0.26,3478,2970,735,597,642,214,1332,1122,1085,1047,564,544,398,236,120,2188,635,33.93,9.85,6048,1800,205,124,386,518,337,220,10,4248,2228,620,794,513,157,144,3536,1872,823,560,281,2023,1810,213,914,896,1810,1287,751,536,117,419,523,347,176,191,294,102,216,155,138,60,41,134,206,11,126,106,8,13,9,11790,39420,40841,103,182,0,47,48,168,334,531,610,4405,2043,38.8,36.83,0.112046607,0.000706506
Wellshire,3078,160,2780,0,47,41,0,13,37,5.2,90.32,0,1.53,1.33,0,0.42,1.2,1413,1665,186,223,198,94,409,352,269,268,394,501,442,168,275,701,642,22.77,20.86,2950,777,47,86,178,150,112,150,54,2173,1218,307,665,184,23,39,2213,22,249,388,1554,1380,1295,85,1153,142,1295,877,793,84,0,84,418,344,74,60,16,28,9,49,82,66,9,56,92,122,176,129,101,127,173,45365,107530,128443,53,0,37,2,175,165,940,0,8,2905,173,3.44,0,0.068792249,0.000252417
University,8462,651,7120,164,0,377,0,12,138,7.69,84.14,1.94,0,4.46,0,0.14,1.63,4312,4150,270,148,125,132,418,1745,3097,1096,759,686,338,117,206,675,407,7.98,4.81,8297,4222,48,12,122,75,181,3088,696,4075,4019,1069,1930,710,197,113,4047,169,628,923,2327,3842,3366,476,1530,1836,3366,1116,836,280,145,135,2250,1323,927,648,153,155,114,166,177,118,149,134,346,279,329,305,112,112,69,24932,59108,93301,150,71,75,117,465,545,838,508,1073,7758,704,26.76,5.02,0.082921892,0.000338831
Rosedale,2615,191,2340,0,15,37,0,9,23,7.3,89.48,0,0.57,1.41,0,0.34,0.88,1306,1309,184,77,91,28,261,148,548,493,423,329,216,65,132,380,284,14.53,10.86,2490,472,38,11,81,48,57,94,143,2018,1454,341,730,286,78,19,2051,130,271,468,1182,1356,1203,153,663,540,1203,567,413,154,118,36,636,487,149,78,32,30,41,90,90,10,88,53,84,87,230,99,66,75,50,35833,76231,103155,39,54,33,130,78,106,232,260,424,2476,139,16.94,5.11,0.049897735,0.000153262
East Colfax,9514,2858,3695,2193,94,570,0,0,104,30.04,38.84,23.05,0.99,5.99,0,0,1.09,4891,4623,1188,540,332,249,1728,721,2468,1822,1012,922,495,239,107,2309,444,24.27,4.67,8668,2441,107,116,417,300,334,953,214,6227,4694,634,2180,965,399,516,5695,1341,1431,1541,1382,4706,4011,695,1397,2614,4011,1903,1101,802,325,477,2108,1418,690,537,286,323,368,328,125,305,234,157,400,389,277,176,10,73,23,18553,42452,43702,0,261,130,311,1326,502,765,903,508,7135,2379,35.42,32.95,0.073874007,0.000290984
Lincoln Park,5532,2041,2541,590,157,135,0,0,68,36.89,45.93,10.67,2.84,2.44,0,0,1.23,2608,2924,431,417,242,106,848,509,1639,692,568,684,264,182,146,1196,418,21.62,7.56,5330,1475,57,103,237,211,104,620,143,3855,2302,665,1023,402,145,67,3450,980,714,665,1091,3001,2708,293,758,1950,2708,1086,482,604,49,555,1622,1108,514,812,243,279,86,119,107,38,140,109,223,142,220,79,64,20,27,19642,38391,39698,10,127,351,752,313,159,185,68,1036,4996,536,43.91,46.69,0.081725382,0.000347249
City Park West,4174,571,2656,813,15,55,0,0,64,13.68,63.63,19.48,0.36,1.32,0,0,1.53,2266,1908,337,117,78,59,454,200,1082,945,425,502,286,151,129,591,408,14.16,9.77,3925,788,70,6,89,68,108,291,156,3137,2207,628,937,452,99,91,3056,253,358,710,1735,2768,2341,427,817,1524,2341,650,410,240,60,180,1691,1321,370,456,223,173,91,196,125,161,61,25,119,110,213,80,152,126,30,30456,53719,71323,152,128,115,139,265,196,220,197,1356,4028,146,27.24,22.15,0.049645949,0.000143399
Whittier,4436,723,1697,1785,89,62,0,0,80,16.3,38.26,40.24,2.01,1.4,0,0,1.8,2175,2261,362,266,245,274,628,673,488,948,545,493,332,171,158,1147,426,25.86,9.6,4179,1296,118,0,271,153,407,242,105,2883,1841,349,823,479,74,116,3046,460,460,897,1229,2212,1940,272,1028,912,1940,1018,522,496,158,338,922,747,175,178,163,55,242,195,69,88,114,80,147,211,152,120,82,0,44,22841,51351,57044,49,12,51,9,159,118,121,119,1574,4088,348,19.98,20.43,0.049779378,0.000153284
Capitol Hill,14532,1685,11529,401,163,377,40,15,322,11.6,79.34,2.76,1.12,2.59,0.28,0.1,2.22,7625,6907,297,142,112,51,439,432,5469,3418,1838,1611,903,306,116,602,803,4.14,5.53,14302,2681,56,0,151,72,176,1723,503,11621,10106,2862,3920,2118,539,667,11306,828,1420,3281,5777,11672,10483,1189,2582,7901,10483,1249,861,388,124,264,9234,7582,1652,1449,1097,785,929,548,730,698,662,490,682,879,600,409,271,116,138,34242,46471,101615,19,288,373,240,1650,2238,1777,898,4189,13717,815,19.36,8.25,0.054472066,0.000184066
North Capitol Hill,4692,379,3594,287,123,239,0,0,70,8.08,76.6,6.12,2.62,5.09,0,0,1.49,2650,2042,10,13,0,0,23,60,2118,1010,422,466,373,179,41,23,361,0.49,7.69,4682,760,0,13,0,0,20,435,292,3922,3249,986,1308,696,192,67,3625,249,658,706,2012,3993,3434,559,474,2960,3434,287,246,41,41,0,3147,2526,621,754,293,187,104,92,203,195,148,224,143,227,388,172,119,80,105,38890,51231,124932,191,1027,467,496,111,168,225,161,1147,4289,403,26.79,0,0.040371236,9.60E-05
Civic Center,1258,47,941,114,26,101,0,0,29,3.74,74.8,9.06,2.07,8.03,0,0,2.31,765,493,14,0,0,0,14,12,326,266,299,206,87,0,48,14,80,1.11,6.36,1244,190,0,0,0,0,0,112,78,1054,809,420,271,63,22,33,1163,52,101,330,680,1126,958,168,381,577,958,187,187,0,0,0,771,683,88,101,39,115,35,11,0,8,55,97,22,102,41,133,88,37,74,77163,100983,163998,329,260,338,47,89,0,6,15,42,1160,98,11.84,0,0.042167554,8.27E-05
CBD,2205,257,1705,154,0,75,0,0,14,11.66,77.32,6.98,0,3.4,0,0,0.63,1352,853,8,0,0,0,8,58,669,474,405,266,196,78,51,8,197,0.36,8.93,2197,281,0,0,0,0,40,170,71,1916,1469,761,260,262,76,110,1832,126,365,430,911,2326,1679,647,362,1317,1679,274,209,65,52,13,1405,1202,203,277,177,88,119,89,48,52,36,68,126,144,106,136,37,117,59,56478,73021,173932,111,46,93,347,236,762,137,35,559,1994,211,20.05,14.6,0.042533974,0.000117326
